id,kind,row_id,cluster_id,column,confidence,derivable,default,decision,proposed_value,note
29|Delivery year,fill,29,,Delivery year,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/456060,live row 840: the cited shipvault page renders blank (site bug); companion unit 
721|Status,fill,721,,Status,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/94117,live row 11: the cited shipvault page renders blank (site bug); companion unit r
969|Contract date,fill,969,,Contract date,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/113754,live row 61: the cited shipvault page renders blank (site bug); companion unit r
969|Delivery year,fill,969,,Delivery year,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/113754,live row 61: the cited shipvault page renders blank (site bug); companion unit r
969|IMO number,fill,969,,IMO number,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/113754,live row 61: the cited shipvault page renders blank (site bug); companion unit r
969|Name,fill,969,,Name,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/113754,live row 61: the cited shipvault page renders blank (site bug); companion unit r
969|Price,fill,969,,Price,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/113754,live row 61: the cited shipvault page renders blank (site bug); companion unit r
969|Shipbuilder,fill,969,,Shipbuilder,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/113754,live row 61: the cited shipvault page renders blank (site bug); companion unit r
969|Shipowner country/area,fill,969,,Shipowner country/area,Y,False,hold,reject,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/113754,live row 61: the cited shipvault page renders blank (site bug); companion unit r
969|Status,fill,969,,Status,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/113754,live row 61: the cited shipvault page renders blank (site bug); companion unit r
995|Status,fill,995,,Status,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/459926,live row 814: the cited shipvault page renders blank (site bug); companion unit 
1044|Contract date,fill,1044,,Contract date,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/373877,live row 487: the cited shipvault page renders blank (site bug); companion unit 
1044|Delivery year,fill,1044,,Delivery year,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/373877,live row 487: the cited shipvault page renders blank (site bug); companion unit 
1044|IMO number,fill,1044,,IMO number,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/373877,live row 487: the cited shipvault page renders blank (site bug); companion unit 
1044|Name,fill,1044,,Name,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/373877,live row 487: the cited shipvault page renders blank (site bug); companion unit 
1044|Price,fill,1044,,Price,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/373877,live row 487: the cited shipvault page renders blank (site bug); companion unit 
1044|Status,fill,1044,,Status,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/373877,live row 487: the cited shipvault page renders blank (site bug); companion unit 
1045|Delivery year,fill,1045,,Delivery year,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/373876,live row 488: the cited shipvault page renders blank (site bug); companion unit 
1045|IMO number,fill,1045,,IMO number,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/373876,live row 488: the cited shipvault page renders blank (site bug); companion unit 
1045|Name,fill,1045,,Name,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/373876,live row 488: the cited shipvault page renders blank (site bug); companion unit 
1045|Price,fill,1045,,Price,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/373876,live row 488: the cited shipvault page renders blank (site bug); companion unit 
1045|Status,fill,1045,,Status,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/373876,live row 488: the cited shipvault page renders blank (site bug); companion unit 
